107 1:1900
105 1:1901
89 1:1902
126 1:1903
108 1:1904
97 1:1905
94 1:1906
83 1:1907
106 1:1908
98 1:1909
101 1:1910
108 1:1911
99 1:1912
88 1:1913
115 1:1914
102 1:1915
116 1:1916
115 1:1917
82 1:1918
110 1:1919
81 1:1920
96 1:1921
125 1:1922
104 1:1923
105 1:1924
124 1:1925
103 1:1926
106 1:1927
96 1:1928
107 1:1929
98 1:1930
65 1:1931
115 1:1932
91 1:1933
94 1:1934
101 1:1935
121 1:1936
105 1:1937
97 1:1938
105 1:1939
96 1:1940
82 1:1941
116 1:1942
114 1:1943
92 1:1944
98 1:1945
101 1:1946
104 1:1947
96 1:1948
109 1:1949
122 1:1950
114 1:1951
81 1:1952
85 1:1953
92 1:1954
114 1:1955
111 1:1956
95 1:1957
126 1:1958
105 1:1959
108 1:1960
117 1:1961
112 1:1962
113 1:1963
120 1:1964
65 1:1965
98 1:1966
91 1:1967
108 1:1968
113 1:1969
110 1:1970
105 1:1971
97 1:1972
105 1:1973
107 1:1974
88 1:1975
115 1:1976
123 1:1977
118 1:1978
99 1:1979
93 1:1980
96 1:1981
54 1:1982
111 1:1983
85 1:1984
107 1:1985
89 1:1986
87 1:1987
97 1:1988
93 1:1989
88 1:1990
99 1:1991
108 1:1992
94 1:1993
74 1:1994
119 1:1995
102 1:1996
47 1:1997
82 1:1998
53 1:1999
115 1:2000
